Location,Number_of_subscriptions,Lat,Long,Lat-Long
Aberdeen,6,57.1482429,-2.0928095,"57.1482429,-2.0928095"
Aberystwyth,1,52.4143113,-4.0816846,"52.4143113,-4.0816846"
Belfast,2,54.596391,-5.9301829,"54.596391,-5.9301829"
Birmingham,1,52.4796992,-1.9026911,"52.4796992,-1.9026911"
Bradford,1,53.7944229,-1.7519186,"53.7944229,-1.7519186"
Bristol,15,51.4538022,-2.5972985,"51.4538022,-2.5972985"
Cambridge,25,52.205276,0.119167,"52.205276, 0.119167"
Canterbury,1,51.280231,1.078909,"51.280231, 1.078909"
Cardiff,2,51.4816546,-3.1791934,"51.4816546,-3.1791934"
Coventry,1,52.4081812,-1.510477,"52.4081812,-1.510477"
Dundee,1,56.4605938,-2.97019,"56.4605938,-2.97019"
Earlham,3,52.63579,1.23847,"52.635790, 1.238470"
Edinburgh,23,55.9533456,-3.1883749,"55.9533456,-3.1883749"
Exeter,3,50.7255794,-3.5269497,"50.7255794,-3.5269497"
Glasglow,11,55.8609825,-4.2488787,"55.8609825,-4.2488787"
Harwell ,11,51.580873,-1.309099,"51.580873,-1.309099"
Kent,2,51.2070748,0.7210362,"51.2070748,0.7210362"
Leeds,1,53.7974185,-1.5437941,"53.7974185,-1.5437941"
Leicester,17,52.6362,-1.1331969,"52.6362,-1.1331969"
Liverpool,8,53.4071991,-2.99168,"53.4071991,-2.99168"
London,50,51.5073219,-0.1276474,"51.5073219,-0.1276474"
Loughborough,1,52.772099,-1.206166,"52.772099,-1.206166"
Manchester,60,53.4794892,-2.2451148,"53.4794892,-2.2451148"
Newcastle,2,54.9738474,-1.6131572,"54.9738474,-1.6131572"
Norwich,5,52.6285694,1.2923049,"52.6285694,1.2923049"
Nottingham,7,52.9534193,-1.1496461,"52.9534193,-1.1496461"
Oban,1,56.415695,-5.4734688,"56.415695,-5.4734688"
Oxford,44,51.7520131,-1.2578499,"51.7520131,-1.2578499"
Reading,1,51.456659,-0.9696512,"51.456659,-0.9696512"
St Andrews,2,56.3403902,-2.7955844,"56.3403902,-2.7955844"
Sheffield,1,53.3806626,-1.4702278,"53.3806626,-1.4702278"
Southampton,4,50.909698,-1.404351,"50.909698,-1.404351"
Surrey,35,51.2715316,-0.3414524,"51.2715316,-0.3414524"
Swansea,1,51.6195955,-3.9459248,"51.6195955,-3.9459248"
Warwick,14,52.2814519,-1.5815742,"52.2814519,-1.5815742"
York,7,53.9590555,-1.0815361,"53.9590555,-1.0815361"
